client_id,contact_date,duration,campaign,pdays,previous,poutcome,subscribed
CUST_000001,2010-05-05,261,1,,0,,0
CUST_000002,2010-05-05,151,1,,0,,0
CUST_000003,2010-05-05,76,1,,0,,0
CUST_000004,2010-05-05,92,1,,0,,0
CUST_000005,2010-05-05,198,1,,0,,0
CUST_000006,2010-05-05,139,1,,0,,0
CUST_000007,2010-05-05,217,1,,0,,0
CUST_000008,2010-05-05,380,1,,0,,0
CUST_000009,2010-05-05,50,1,,0,,0
CUST_000010,2010-05-05,55,1,,0,,0
CUST_000011,2010-05-05,222,1,,0,,0
CUST_000012,2010-05-05,137,1,,0,,0
CUST_000013,2010-05-05,517,1,,0,,0
CUST_000014,2010-05-05,71,1,,0,,0
CUST_000015,2010-05-05,174,1,,0,,0
CUST_000016,2010-05-05,353,1,,0,,0
CUST_000017,2010-05-05,98,1,,0,,0
CUST_000018,2010-05-05,38,1,,0,,0
CUST_000019,2010-05-05,219,1,,0,,0
CUST_000020,2010-05-05,54,1,,0,,0
CUST_000021,2010-05-05,262,1,,0,,0
CUST_000022,2010-05-05,164,1,,0,,0
CUST_000023,2010-05-05,160,1,,0,,0
CUST_000024,2010-05-05,342,1,,0,,0
CUST_000025,2010-05-05,181,1,,0,,0
CUST_000026,2010-05-05,172,1,,0,,0
CUST_000027,2010-05-05,296,1,,0,,0
CUST_000028,2010-05-05,127,1,,0,,0
CUST_000029,2010-05-05,255,2,,0,,0
CUST_000030,2010-05-05,348,1,,0,,0
CUST_000031,2010-05-05,225,1,,0,,0
CUST_000032,2010-05-05,230,1,,0,,0
CUST_000033,2010-05-05,208,1,,0,,0
CUST_000034,2010-05-05,226,1,,0,,0
CUST_000035,2010-05-05,336,1,,0,,0
CUST_000036,2010-05-05,242,1,,0,,0
CUST_000037,2010-05-05,365,1,,0,,0
CUST_000038,2010-05-05,1666,1,,0,,0
CUST_000039,2010-05-05,577,1,,0,,0
CUST_000040,2010-05-05,137,1,,0,,0
CUST_000041,2010-05-05,160,1,,0,,0
CUST_000042,2010-05-05,180,2,,0,,0
CUST_000043,2010-05-05,22,1,,0,,0
